Season Start,Year,League,Team (Short),Team (Full),Division,DivWin,WCWin,LgWin,WSWin,G,W,L,RS,AB,H,2B,3B,HR,BB,SO,SB,CS,RA,ER,ERA,CG,SHO,SV
4/1/1999,1999,AL,OAK,Oakland Athletics,W,N,N,N,N,162,87,75,893,5519,1430,287,20,235,770,1129,70,37,846,749,4.69,6,5,48
4/1/1999,1999,NL,PHI,Philadelphia Phillies,E,N,N,N,N,162,77,85,841,5598,1539,302,44,161,631,1081,125,35,846,788,4.93,11,6,32
4/1/1999,1999,NL,PIT,Pittsburgh Pirates,C,N,N,N,N,161,78,83,775,5468,1417,282,40,171,573,1197,112,44,782,689,4.33,8,3,34
4/1/1999,1999,NL,SDN,San Diego Padres,W,N,N,N,N,162,74,88,710,5394,1360,256,22,153,631,1169,174,67,781,705,4.47,5,6,43
4/1/1999,1999,AL,SEA,Seattle Mariners,W,N,N,N,N,162,79,83,859,5572,1499,263,21,244,610,1095,130,45,905,834,5.24,7,6,40
4/1/1999,1999,NL,SFN,San Francisco Giants,W,N,N,N,N,162,86,76,872,5563,1507,307,18,188,696,1028,109,56,831,762,4.71,6,3,42
4/1/1999,1999,NL,SLN,St. Louis Cardinals,C,N,N,N,N,161,75,86,809,5570,1461,274,27,194,613,1202,134,48,838,761,4.74,5,3,38
4/1/1999,1999,AL,TBA,Tampa Bay Devil Rays,E,N,N,N,N,162,69,93,772,5586,1531,272,29,145,544,1042,73,49,913,805,5.06,6,5,45
4/1/1999,1999,AL,TEX,Texas Rangers,W,Y,N,N,N,162,95,67,945,5651,1653,304,29,230,611,937,111,54,859,809,5.07,6,9,47
4/1/1999,1999,AL,TOR,Toronto Blue Jays,E,N,N,N,N,162,84,78,883,5642,1580,337,14,212,578,1077,119,48,862,786,4.92,14,9,39
4/1/2000,2000,AL,ANA,Anaheim Angels,W,N,N,N,N,162,82,80,864,5628,1574,309,34,236,608,1024,93,52,869,805,5,5,3,46
4/1/2000,2000,NL,ARI,Arizona Diamondbacks,W,N,N,N,N,162,85,77,792,5527,1466,282,44,179,535,975,97,44,754,698,4.35,16,8,38
