Location,Burrito,Date,Recommendation,Reviewer,Notes,Yelp Rating,Cost,Tortilla (0-5),Temp (0-5),Fillings (0-5),Meat Volume (0-5),Uniformity (0-5),Salsa (0-5),Synergy (0-5),Wrap Quality (0-5)
El Zarape,Lobster,3/14/2016,No,Scott,quite small,,9.5,3,3,3,3.5,4.5,3.5,3,3.5
El Indio,California,3/17/2016,Yes,Scott,,3.5,7.84,4,4,4,4.5,4,3.5,3.5,4.5
Taco stand,Carne asada,3/18/2016,Yes,Scott,,,7.89,3,3.5,4,5,5,4.5,3.5,5
Taco stand,Al pastor,3/18/2016,,Emily,Kind of dry ,,6.99,4,3,3,4,5,3,3.5,5
"Qdoba Mexican Grill, Seatac Airport",Custom,3/19/2016,,Sage,,,9.5,3,3,3,4,1,3,2.5,5
Cancun Mexican & Seafood,California,3/20/2016,,Scott,A bit small,4.5,6.99,4,4.5,3.5,4,2.5,2,4,4
Cancun Mexican & Seafood,Machaca,3/20/2016,,Emily,So hot! Egg is surprisingly good,,5.99,4,3.5,4,3.5,3.5,2,3.5,0.5
Vallarta express,Quesaburro,3/21/2016,,Scott,,3.5,6.95,3,4,4,4,4,3.5,4.5,4.5
Vallarta express,Philly,3/21/2016,,Torben,Guac chips have lots of cheese,,6.95,3,4.5,3,3,2,4,2,4.5
Vallarta express,Carne asada,3/21/2016,,Ricardo,,,6.5,3.75,5,3,4.5,4.5,3.5,3,4.5
Vallarta express,Quesa,3/21/2016,,Alex,Heart-stopping amount of cheese. Second tortilla of cheese,,6.95,2,5,4,2.5,5,3.5,2.5,4
Vallarta express,Surf and turf,3/21/2016,,Richard,Hot carrots,,7.65,2,4,3,4,2,4,2,3
Vallarta express,Mahi,3/21/2016,,Tom,,,7.3,3,4.5,3,3,2,3.5,2.5,4.5
Mikes Taco Club,California,3/23/2016,Yes,Scott,,4.5,8.59,4,4.5,5,2.5,2,4,4.5,4
Mikes Taco Club,California,3/23/2016,,Brad,,,8.59,4.5,4.5,4.5,4,4,4,4.5,5
La Perla Cocina,Addiction,3/30/2016,No,Scott,Bland,4.5,7.99,4,4,3,1.5,3,2.5,1,3
La Perla Cocina,Oaxacalifornia,3/30/2016,,Emily,Fries are good,,9.99,4,4.5,4,3,2,2.5,3.5,4
Porkyland,Deborah's special,4/2/2016,,Scott,,4,8.25,4,4.5,2.5,4.5,4.5,4,3.5,5
Porkyland,Chicken nopalito,4/2/2016,,Emily,,,7.95,2.5,2.5,3.5,3,2.5,3,3,5
Porkyland,Chicken nopalito,4/2/2016,,Tara,,,7.95,4,5,4,3,5,3,3,5
Porkyland,California,4/2/2016,,Andy,,,8.75,4,5,5,3,2,4,3,5
Rigoberto's Taco Shop,California,4/3/2016,Yes,Scott,,,6.6,3,4.5,4.5,4,4.5,4.5,5,4.5
Rigoberto's Taco Shop,Adobada,4/3/2016,,Tara,,,6.6,4,5,5,5,4,3,4.5,5
Rigoberto's Taco Shop,California,4/7/2016,,Scott,Too much enchilada sauce this time,,6.6,3,5,3,4.5,2.5,3,4,4
Rigoberto's Taco Shop,Surf & Turf,4/7/2016,,Bankole,Would have enjoyed it more if wasn't rating; shrimp better than meat. Quality of the shrimp really improves the burrito. Well cooked and fresh. Shrimp could have had more flavor,,7.45,3,5,2.5,3,2.5,3.75,3,4
