Page,Date of Post,Post Copy,Link,Post Type,Hour of Post,Time of Day,Shares,Reactions,Likes,Comments
Spartan Race,9/7/2016,"""You'll either find me in a dress or covered in mud, there's not much in between."" - @kateehudson713…",https://www.facebook.com/spartanrace/photos/a.10150616692721861.380805.251061411860/10153709669851861/?type=3,photo,14,Afternoon,6,1297,1234,13
Spartan Race,9/7/2016,"Coach Q WOD ""Buckets, Logs, Sandbags & Stuff"" http://sprtn.im/WHYIRACE_2016",https://www.facebook.com/spartanrace/videos/10153709770356861/,video,15,Evening,38,395,367,48
Spartan Race,9/7/2016,"How would you define a World Champion Spartan Racer? #SpartanRace #RoadToTahoe

Introducing Spartan …",https://www.facebook.com/spartanrace/videos/10153709898731861/,video,16,Evening,79,248,231,9
Spartan Race,9/7/2016,"Matt ""The Bear"" Novakovich announces the lucky winner of the Tahoe Sweepstakes. If you didn't win th…",https://www.facebook.com/spartanrace/videos/10153710057871861/,video,18,Evening,24,411,365,90
Spartan Race,9/7/2016,We prefer women who aren't afraid to get a little dirt under their fingernails. #SpartanRace #WCW #W…,https://www.facebook.com/spartanrace/photos/a.10150616692721861.380805.251061411860/10153710551991861/?type=3,photo,22,Evening,63,938,881,17
Spartan Race,9/8/2016,Coach Jodie Somers is live from Australia with a grip strength workout to get you ready for your nex…,https://www.facebook.com/spartanrace/videos/10153710847401861/,video,0,Late Night,51,442,405,66
Spartan Race,9/8/2016,We all race for a reason - what's yours? Post a photo or video tagged #WHYIRACE and share your story…,https://www.facebook.com/spartanrace/photos/a.10150616692721861.380805.251061411860/10153711993076861/?type=3,photo,14,Afternoon,21,240,229,9
Spartan Race,9/8/2016,"Having come so close in previous years, can Robert Killian finally take home first in the Best Range…",https://www.facebook.com/spartanrace/videos/10153712332971861/,video,17,Evening,49,342,326,8
Spartan Race,9/8/2016,"Never lose sight of what your goal is. Keep your eyes on the finish line. #SpartanRace #WHYIRACE

ht…",https://www.facebook.com/spartanrace/videos/10153712647306861/,video,20,Evening,252,805,711,17
Spartan Race,9/8/2016,"Spartan Workout Tour 101 - 
Q & As 
www.spartan.com/spartan-workout-tour/",https://www.facebook.com/spartanrace/videos/10153712985371861/,video,23,Late Night,9,216,192,91
Spartan Race,9/8/2016,"Spartan Workout Tour 101 - 
Q & As 
www.spartan.com/spartan-workout-tour/",https://www.facebook.com/spartanrace/videos/10153713044956861/,video,23,Late Night,11,240,213,72
